state,county,tract,czname,par_rank_pooled_pooled_mean,par_rank_black_pooled_mean,kid_black_pooled_blw_p50_n,kid_pooled_pooled_blw_p50_n,poor_share2010,share_black2010,hhinc_mean2000,ln_wage_growth_hs_grad,frac_coll_plus2010,log_kid_black_pooled_blw_p50_n,log_kid_pooled_pooled_blw_p50_n,kfr_pooled_pooled_p25,kfr_pooled_pooled_p25_se,kfr_black_pooled_p25,kfr_black_pooled_p25_se,kfr_white_pooled_p25,kfr_white_pooled_p25_se,kfr_top20_pooled_pooled_p25,kfr_top20_pooled_pooled_p25_se,kfr_top20_black_pooled_p25,kfr_top20_black_pooled_p25_se,kfr_top20_white_pooled_p25,kfr_top20_white_pooled_p25_se,jail_pooled_pooled_p25,jail_pooled_pooled_p25_se,jail_black_pooled_p25,jail_black_pooled_p25_se,jail_white_pooled_p25,jail_white_pooled_p25_se
48,113,12601,Dallas,0.44273901,0.36111915,367.0556,985.7121,0.16978708,0.17439833,66519.0,-0.13311827,0.12017435,5.905513335217413,6.893364324136274,0.3867649591821177,0.01209747,0.35434059937669526,0.01381946,0.46263509484789134,0.034373645,0.05262617850375471,0.015541178,0.02790545817677217,0.0085225329,0.1264680634232923,0.050811689,0.020176386117646945,0.0069622626,0.030568287683644016,0.020344427,0.02940098961174519,0.026171405
48,113,12701,Dallas,0.33717519,0.25533608,147.42145,1338.7208,0.24558273,0.08404047,51655.797,0.22738701,0.1109905,4.993295491555941,7.199469810132864,0.35868524543644775,0.010171859,0.32386092186716303,0.023675514,0.3852522105041214,0.021137884,0.0643447734516495,0.012137888,0.0373447413354641,0.028030355,0.07787522466727305,0.030974936,0.019597998581997254,0.0079583339,0.06153294373459111,0.051847693,0.021853833041849607,0.013163565
48,113,12702,Dallas,0.36627978,0.23311864,63.008854,602.1701,0.10473313,0.09498148,59238.48,0.12530683,0.0644685,4.1432752561992965,6.400539963536323,0.36507011616513974,0.015661431,0.30001175620949344,0.032349363,0.42369662187843965,0.029172158,0.059867631821498624,0.018713485,0.03174098131425307,0.022351662,0.0218869238083615,0.034488376,0.031009606188689372,0.014910966,0.04632258816486762,0.034701154,0.025747315296267073,0.02205674
48,113,12800,Dallas,0.49452001,0.29209861,113.10736,924.72888,0.07538081,0.048263356,85573.6,0.19039261,0.29588577,4.728337456159509,6.82950059184673,0.4316509642010626,0.012870869,0.37679066936378086,0.028607253,0.4863269140129347,0.023275163,0.10950229673838743,0.016533755,0.04157112905949708,0.027383547,0.20314009236708397,0.030433612,0.012687675815225943,0.007219668,0.08700363798688318,0.068108186,0.014664512864939118,0.011475278
48,113,12900,Dallas,0.55895859,0.2960929,41.022659,331.98782,0.0831181,0.066604994,95830.51,-0.2433955,0.5195003,3.714124572581407,5.805098281496526,0.5011555548302088,0.023180267,0.3679403088317637,0.047513347,0.47179925209589924,0.031565193,0.1695244866962201,0.030756596,0.05078475396377744,0.051472452,0.15902951139418886,0.043931238,0.019626174159599698,0.01305835,0.08596102539106543,0.071433149,0.005605715472164753,0.0098384023
48,113,13004,Dallas,0.7174964,0.29330799,17.956606,317.67288,0.035549235,0.045641787,124997.35,-0.6392597,0.6847245,2.88795806951482,5.761022174081276,0.48892525128845443,0.025315762,0.38061500763226785,0.059431721,0.5482216713120079,0.030580603,0.1608572123534747,0.036524002,0.038233771656104185,0.038992118,0.30065956454882536,0.045344684,0.010230996726153956,0.0098062437,0.07175959172592897,0.068360113,0.00806363652556376,0.013667061
48,113,13005,Dallas,0.53959078,0.25882977,295.66699,589.90527,0.018694049,0.015274034,87949.76,-0.23749521,0.62641644,5.689233787214716,6.379961964686704,0.5271711495800476,0.016863704,0.355440668489476,0.023217509,0.5517959977100522,0.027826458,0.15000062230833472,0.023254925,0.044673265093515935,0.024585666,0.34286050555689607,0.039473444,0.01875630934742309,0.012151229,0.0493438858988859,0.033498745,0.0022543490063443635,0.0069253896
48,113,13007,Dallas,0.58387691,0.31362438,275.91034,391.63507,0.12003936,0.15522301,93454.57,-0.10879131,0.43893647,5.620075957867847,5.970330462315536,0.44587610929575533,0.022878651,0.3778320978874041,0.02864081,0.48040522808534497,0.045047771,0.13898569805096897,0.027770124,0.03614163074104078,0.014163407,0.23242211795011652,0.061827529,0.018529133487849403,0.0089389663,0.05958551868737844,0.021227172,0.01103663103669669,0.012015286
48,113,13008,Dallas,0.70775056,0.27440467,156.68263,276.79718,0.15340419,0.11322314,133779.95,0.32956898,0.6449677,5.054222294462214,5.623285035830346,0.4548370346808075,0.025186652,0.29953879518799437,0.022667408,0.5426725290878065,0.040827088,0.17215833574729278,0.031131912,0.01616278216493529,0.013406683,0.36420854303769695,0.05545117,0.03558664214124428,0.020956749,0.05338848294994859,0.033427488,0.017350325711741114,0.022694007
48,113,13009,Dallas,0.5992139,0.31241435,547.52869,689.81012,0.12927757,0.30099502,94935.086,0.43853706,0.39188713,6.305414862144212,6.536416371314231,0.42720917305673745,0.014322417,0.3258930219470154,0.013165125,0.5164001771847473,0.033351284,0.0997895199900119,0.019078314,0.028506638270237403,0.0088855186,0.14959370090663648,0.045592584,0.03197158657937935,0.012686216,0.04053074399770442,0.014875496,0.022621362028158724,0.023790982
48,113,13200,Dallas,0.77347183,0.59029156,9.0678263,107.0467,0.08282406,0.065581694,161279.28,-1.0876633,0.6812345,2.2047325771905344,4.673265187844051,0.5564948048588054,0.02950868,0.4513252435867766,0.076329291,0.5774033804812192,0.0365321,0.20528671150250483,0.042161938,0.1519052555747392,0.10311056,0.30860491882087765,0.054002222,0.00879938766177127,0.011558841,,,0.010300986865749782,0.01978429
48,113,13605,Dallas,0.75691259,0.46809742,20.850807,251.18494,0.008919914,0.040219035,151082.97,-0.33358926,0.675767,3.037392652531761,5.526189480567537,0.5191233257798606,0.023666384,0.4191985238316892,0.087741219,0.5623233016573154,0.029736599,0.17634158785098697,0.034144085,0.11208146086737457,0.083635159,0.3218923715914653,0.044876419,0.0025827113528910832,0.0070140478,,,0.0010691816363809202,0.0093880342
48,113,13606,Dallas,0.666583,0.38048932,52.414131,316.57141,0.12469846,0.10199849,128144.695,-0.12362413,0.48391,3.9591762305435942,5.757548840147599,0.44379518915387933,0.021739621,0.3041210591977533,0.041889153,0.5125857114439326,0.030745434,0.17002573222144318,0.031210111,-0.015916852128893877,0.017893353,0.26249517867729016,0.048703905,0.020543544437383453,0.012869023,0.047916069941648425,0.048378259,0.005997189716149504,0.010000695
48,113,13607,Dallas,0.74642968,0.44601849,13.781289,150.32469,0.08125,0.06765579,139778.69,-0.48273247,0.56080806,2.623311802575088,5.012797554724936,0.4460376950709905,0.030991303,0.39602665421875216,0.06301979,0.6533862609357228,0.036911201,0.18021734026238456,0.044712372,0.17429729010414785,0.13062198,0.27739535575794716,0.055706207,0.02960535654046457,0.021690577,,,0.00467439404182697,0.010785595
48,113,13609,Dallas,0.61632645,0.37825197,166.20782,431.99408,0.08069793,0.12132858,121357.24,-0.34129328,0.364395,5.113238933059335,6.06841188444651,0.44592576614387663,0.028327497,0.3813834133121632,0.043031465,0.5019275577641933,0.047708623,0.18166732759199358,0.043032289,0.06592076130345795,0.052639544,0.13595237890769551,0.067978822,0.02470599593219066,0.013755751,0.08031601831474114,0.062169448,0.014865458337860538,0.016323192
48,113,13610,Dallas,0.55560088,0.35232896,74.202133,663.53381,0.06128199,0.067988016,124189.0,-0.29086396,0.44600773,4.306792896390886,6.497579809519965,0.4776389615633645,0.015892548,0.29250861785775645,0.027707776,0.47863200874582884,0.033203129,0.11989362556355455,0.022214027,0.034745230302598774,0.020589093,0.24708551657521863,0.049390245,0.023488112893007174,0.014631948,0.04198233623756237,0.046751078,0.02102218023034521,0.023765637
48,113,13615,Dallas,0.32897872,0.26670647,103.41979,876.16345,0.2531819,0.18470363,67178.23,0.15595892,0.13359235,4.638796336410995,6.775552660289239,0.4185158350907254,0.012049802,0.35512602763259427,0.027761145,0.4114545815551544,0.031061832,-0.0007520477729429098,0.015202308,0.03444316406354467,0.02638009,0.10451488802554383,0.050936509,0.029673921733490358,0.012513971,0.049281468760575264,0.021865116,0.024282021200048905,0.018557852
48,113,13616,Dallas,0.49384382,0.31504339,44.417294,221.65981,0.10178061,0.13241847,91776.97,0.25082588,0.48264802,3.793628898105496,5.401143819178503,0.4329088972947847,0.018416112,0.29150020435766244,0.032652158,0.5719987949019866,0.027946109,0.15348789605219348,0.029023282,0.04409694866687417,0.03923263,0.20058904418741444,0.043674849,0.011268125481708913,0.0077702953,0.035891028844122444,0.03481159,0.00474363897450057,0.0094031142
48,113,13711,Dallas,0.40560758,0.31598526,14.899521,785.50122,0.18909349,0.040809207,62262.035,-0.18367688,0.06312057,2.70132906478366,6.666322010845329,0.46320209510328897,0.016826613,0.35246786548874875,0.062964708,0.4445445353189502,0.073191822,0.08699695789554482,0.019065512,-0.0832333180367791,0.043514606,0.1542625896578143,0.096965767,0.021912196312589408,0.011183836,,,0.03351995561154722,0.031701613
48,113,13714,Dallas,0.43118986,0.42832816,31.833214,1125.1974,0.14563294,0.02525586,74894.83,0.2347824,0.049115203,3.4605102101204492,7.0257137659127125,0.41486466820831847,0.011920415,0.3889653279952714,0.050029986,0.4113172291629384,0.026375176,0.0458063195644972,0.01467394,0.08325866236576557,0.073255755,0.11711464882222339,0.026829161,0.014545953202111524,0.0081660841,0.06781491411913151,0.065631352,0.029785972803966197,0.026090439
48,113,13715,Dallas,0.496398,0.67264354,7.0225334,342.09085,0.04695024,0.032040473,92696.5,0.16508295,0.10182063,1.9491240361259268,5.835076345060531,0.47789585179852134,0.02335112,0.4026935413674094,0.11687457,0.45830560005677606,0.048567072,0.09479876564002154,0.033296514,0.13164104774601243,0.092968546,0.18115108466197916,0.072270259,0.019698163272491756,0.014369737,,,0.031300719045205976,0.037180491
48,113,13716,Dallas,0.58687836,0.57650721,23.80105,519.10925,0.12078845,0.07659479,101650.89,0.32554805,0.2911618,3.169729697351333,6.2521143619770605,0.5699248574798902,0.019078687,0.3847602236560034,0.055093307,0.45264580255165754,0.031647779,0.1698416038218413,0.027433734,0.08814527383051599,0.065090261,0.13270808452011246,0.043431319,-0.005943732885733679,0.007260331,0.028453513016425923,0.037394423,0.017827980859092287,0.018708035
48,113,13717,Dallas,0.43611991,0.45615348,31.488361,562.67279,0.19568755,0.04428312,69588.016,-0.06684082,0.07939914,3.449617985489083,6.332698269129998,0.47412801587503667,0.017333999,0.3656213737082904,0.046723671,0.43020036123556044,0.040870637,0.09621857914550636,0.02070898,0.045354477564198914,0.036984164,0.07760743202221691,0.058244068,0.013927935368798989,0.007083321,0.042257284375413574,0.047226273,0.022891951714437808,0.018393671
48,113,13718,Dallas,0.38395131,0.36660746,55.025551,1101.0192,0.2199069,0.039139785,68683.86,-0.04505608,0.1276509,4.007797640992558,7.0039915752627255,0.3810181696639624,0.012500189,0.3227982563541861,0.050037645,0.4466591067304,0.03151726,0.11994519216002139,0.017399222,0.09631813611094124,0.081268325,0.13682834378729145,0.045304004,0.01286529884060812,0.0061824843,0.04211620979261138,0.044906899,0.03203625571669248,0.02906793
48,113,13719,Dallas,0.62736803,0.54342753,25.163828,305.60437,0.094060734,0.08323991,97176.2,-0.27971748,0.41984734,3.225407566523082,5.722291356928345,0.5374467276436672,0.022800293,0.3996968742821404,0.04828674,0.5173285761855729,0.037430502,0.11183997574497322,0.03273306,0.058210270813247415,0.037140176,0.22652453312099774,0.047937296,0.008296410855748587,0.0079976562,0.026462672764977636,0.034904767,0.01451381160453633,0.017590104
48,113,13720,Dallas,0.54550636,0.43909687,82.297897,620.2876,0.12399929,0.103314914,91945.79,0.19358163,0.2598532,4.410345554501137,6.430183241452002,0.3978008637157702,0.015012405,0.3901377912216493,0.028269373,0.4799456262401383,0.025578739,0.15710301116716627,0.019913061,0.05277383359853484,0.029896535,0.10123277154807828,0.034821831,0.016225192496122823,0.0092229024,0.043101628907160884,0.018274473,0.023797491648084146,0.023229601
48,113,13721,Dallas,0.72207892,0.56808609,50.479553,280.77216,0.024109015,0.08299389,148642.25,0.20117974,0.5601971,3.921568363201676,5.637543521937291,0.5064870948780064,0.02371785,0.37931872118314874,0.052388735,0.5177183588142242,0.034255646,0.1982483816954894,0.032356419,-0.00994843233459116,0.047228869,0.30016896858925746,0.048438057,0.004583881714418117,0.006722271,0.02713205754109784,0.033262338,0.004036019252463246,0.010166959
